Year,Month,Day,Period,VALUE
2020,1,1,1,37.489
2020,1,1,2,35.772
2020,1,1,3,34.974
2020,1,1,4,34.5
2020,1,1,5,34.919
2020,1,1,6,36.88
2020,1,1,7,41.046
2020,1,1,8,43.818
2020,1,1,9,46.983
2020,1,1,10,49.16
2020,1,1,11,50.662
2020,1,1,12,51.324
2020,1,1,13,50.946
2020,1,1,14,51.081
2020,1,1,15,50.526
2020,1,1,16,49.783
2020,1,1,17,50.797
2020,1,1,18,56.666
2020,1,1,19,55.801
2020,1,1,20,53.921
2020,1,1,21,51.473
2020,1,1,22,48.051
2020,1,1,23,43.954
2020,1,1,24,39.721
2020,1,2,1,37.083
2020,1,2,2,35.636
2020,1,2,3,34.608
2020,1,2,4,34.122
2020,1,2,5,34.351
2020,1,2,6,36.394
2020,1,2,7,40.383
2020,1,2,8,42.804
2020,1,2,9,46.063
2020,1,2,10,48.525
2020,1,2,11,50.594
2020,1,2,12,52.014
2020,1,2,13,52.623
2020,1,2,14,53.529
2020,1,2,15,53.488
2020,1,2,16,52.366
2020,1,2,17,52.055
2020,1,2,18,56.68
2020,1,2,19,55.828
2020,1,2,20,53.272
2020,1,2,21,50.865
2020,1,2,22,47.497
2020,1,2,23,43.156
2020,1,2,24,39.274
2020,1,3,1,36.596
2020,1,3,2,35.163
2020,1,3,3,34.446
2020,1,3,4,33.959
2020,1,3,5,33.946
2020,1,3,6,35.744
2020,1,3,7,39.558
2020,1,3,8,42.168
2020,1,3,9,46.361
2020,1,3,10,48.741
2020,1,3,11,51.243
2020,1,3,12,53.137
2020,1,3,13,53.678
2020,1,3,14,54.503
2020,1,3,15,54.503
2020,1,3,16,53.529
2020,1,3,17,52.487
2020,1,3,18,55.896
2020,1,3,19,54.097
2020,1,3,20,51.568
2020,1,3,21,48.687
2020,1,3,22,45.888
2020,1,3,23,42.412
2020,1,3,24,39.207
2020,1,4,1,36.448
2020,1,4,2,35.041
2020,1,4,3,33.905
2020,1,4,4,33.202
2020,1,4,5,33.08
2020,1,4,6,33.824
2020,1,4,7,34.96
2020,1,4,8,35.623
2020,1,4,9,38.152
2020,1,4,10,40.721
2020,1,4,11,42.331
2020,1,4,12,43.02
2020,1,4,13,42.98
2020,1,4,14,42.263
2020,1,4,15,41.533
2020,1,4,16,40.87
2020,1,4,17,41.384
2020,1,4,18,46.293
2020,1,4,19,47.632
2020,1,4,20,46.537
2020,1,4,21,45.198
2020,1,4,22,43.277
2020,1,4,23,40.627
2020,1,4,24,38.26
2020,1,5,1,36.028
2020,1,5,2,34.69
2020,1,5,3,34.027
2020,1,5,4,33.567
2020,1,5,5,33.445
2020,1,5,6,33.459
2020,1,5,7,34.04
2020,1,5,8,33.919
2020,1,5,9,35.393
2020,1,5,10,36.908
2020,1,5,11,38.111
2020,1,5,12,38.787
2020,1,5,13,39.071
2020,1,5,14,39.261
2020,1,5,15,39.274
2020,1,5,16,38.882
2020,1,5,17,39.707
2020,1,5,18,45.063
2020,1,5,19,46.902
2020,1,5,20,46.415
2020,1,5,21,44.981
2020,1,5,22,42.723
2020,1,5,23,39.666
2020,1,5,24,36.935
2020,1,6,1,34.757
2020,1,6,2,33.878
2020,1,6,3,33.134
2020,1,6,4,33.04
2020,1,6,5,33.608
2020,1,6,6,35.623
2020,1,6,7,40.032
2020,1,6,8,43.061
2020,1,6,9,45.779
2020,1,6,10,48.241
2020,1,6,11,50.148
2020,1,6,12,51.311
2020,1,6,13,51.405
2020,1,6,14,51.744
2020,1,6,15,51.514
2020,1,6,16,50.635
2020,1,6,17,50.31
2020,1,6,18,55.111
2020,1,6,19,54.705
2020,1,6,20,52.46
2020,1,6,21,50.026
2020,1,6,22,46.875
2020,1,6,23,42.385
2020,1,6,24,38.909
2020,1,7,1,36.028
2020,1,7,2,34.69
2020,1,7,3,33.851
2020,1,7,4,33.756
2020,1,7,5,34.122
2020,1,7,6,36.001
2020,1,7,7,40.721
2020,1,7,8,43.534
2020,1,7,9,46.266
2020,1,7,10,48.254
2020,1,7,11,50.161
2020,1,7,12,51.054
2020,1,7,13,51.392
2020,1,7,14,51.595
2020,1,7,15,51.784
2020,1,7,16,50.919
2020,1,7,17,50.54
2020,1,7,18,54.705
2020,1,7,19,54.475
2020,1,7,20,52.366
2020,1,7,21,50.31
2020,1,7,22,46.74
2020,1,7,23,42.507
2020,1,7,24,38.625
2020,1,8,1,36.083
2020,1,8,2,34.608
2020,1,8,3,33.959
2020,1,8,4,33.811
2020,1,8,5,34.311
2020,1,8,6,36.326
2020,1,8,7,41.276
2020,1,8,8,43.913
2020,1,8,9,46.402
2020,1,8,10,48.714
2020,1,8,11,50.256
2020,1,8,12,51.149
2020,1,8,13,50.837
2020,1,8,14,50.81
2020,1,8,15,50.405
2020,1,8,16,49.796
2020,1,8,17,49.674
2020,1,8,18,54.759
2020,1,8,19,54.814
2020,1,8,20,52.853
2020,1,8,21,50.878
2020,1,8,22,47.213
2020,1,8,23,43.102
2020,1,8,24,39.274
2020,1,9,1,36.502
2020,1,9,2,34.987
2020,1,9,3,34.514
2020,1,9,4,34.338
2020,1,9,5,34.608
2020,1,9,6,36.651
2020,1,9,7,41.127
2020,1,9,8,44.197
2020,1,9,9,47.646
2020,1,9,10,49.891
2020,1,9,11,50.783
2020,1,9,12,51.176
2020,1,9,13,51.23
2020,1,9,14,51.703
2020,1,9,15,51.243
2020,1,9,16,50.986
2020,1,9,17,50.499
2020,1,9,18,55.598
2020,1,9,19,55.571
2020,1,9,20,52.907
2020,1,9,21,50.364
2020,1,9,22,46.794
2020,1,9,23,42.588
2020,1,9,24,38.76
2020,1,10,1,36.123
2020,1,10,2,34.852
2020,1,10,3,34.324
2020,1,10,4,34.054
2020,1,10,5,34.257
2020,1,10,6,36.34
2020,1,10,7,40.816
2020,1,10,8,43.967
2020,1,10,9,46.753
2020,1,10,10,49.296
2020,1,10,11,50.837
2020,1,10,12,51.649
2020,1,10,13,51.568
2020,1,10,14,51.378
2020,1,10,15,50.675
2020,1,10,16,49.336
2020,1,10,17,49.296
2020,1,10,18,53.015
2020,1,10,19,52.934
2020,1,10,20,50.648
2020,1,10,21,48.633
2020,1,10,22,45.779
2020,1,10,23,42.439
2020,1,10,24,39.153
2020,1,11,1,36.529
2020,1,11,2,34.987
2020,1,11,3,34.243
2020,1,11,4,33.635
2020,1,11,5,33.635
2020,1,11,6,34.23
2020,1,11,7,35.406
2020,1,11,8,36.38
2020,1,11,9,39.531
2020,1,11,10,42.899
2020,1,11,11,45.252
2020,1,11,12,45.225
2020,1,11,13,44.481
2020,1,11,14,43.318
2020,1,11,15,42.277
2020,1,11,16,41.573
2020,1,11,17,42.223
2020,1,11,18,47.308
2020,1,11,19,49.052
2020,1,11,20,47.74
2020,1,11,21,46.347
2020,1,11,22,44.238
2020,1,11,23,41.33
2020,1,11,24,38.693
2020,1,12,1,36.637
2020,1,12,2,35.176
2020,1,12,3,34.419
2020,1,12,4,33.797
2020,1,12,5,33.797
2020,1,12,6,34.162
2020,1,12,7,34.717
2020,1,12,8,35.082
2020,1,12,9,36.664
2020,1,12,10,38.179
2020,1,12,11,39.18
2020,1,12,12,39.044
2020,1,12,13,39.504
2020,1,12,14,39.153
2020,1,12,15,38.652
2020,1,12,16,38.571
2020,1,12,17,39.734
2020,1,12,18,46.077
2020,1,12,19,49.228
2020,1,12,20,48.971
2020,1,12,21,47.24
2020,1,12,22,44.995
2020,1,12,23,42.223
2020,1,12,24,39.139
2020,1,13,1,36.745
2020,1,13,2,35.122
2020,1,13,3,34.581
2020,1,13,4,34.27
2020,1,13,5,34.717
2020,1,13,6,36.542
2020,1,13,7,39.978
2020,1,13,8,41.857
2020,1,13,9,44.846
2020,1,13,10,47.524
2020,1,13,11,48.876
2020,1,13,12,48.958
2020,1,13,13,48.214
2020,1,13,14,48.079
2020,1,13,15,47.186
2020,1,13,16,46.442
2020,1,13,17,47.078
2020,1,13,18,52.853
2020,1,13,19,54.137
2020,1,13,20,52.853
2020,1,13,21,50.337
2020,1,13,22,47.145
2020,1,13,23,43.25
2020,1,13,24,39.382
2020,1,14,1,36.651
2020,1,14,2,35.095
2020,1,14,3,34.5
2020,1,14,4,34.243
2020,1,14,5,34.635
2020,1,14,6,37.016
2020,1,14,7,42.25
2020,1,14,8,45.766
2020,1,14,9,48.565
2020,1,14,10,49.823
2020,1,14,11,51.405
2020,1,14,12,51.324
2020,1,14,13,51.514
2020,1,14,14,50.878
2020,1,14,15,50.648
2020,1,14,16,49.647
2020,1,14,17,49.377
2020,1,14,18,56.491
2020,1,14,19,57.586
2020,1,14,20,54.624
2020,1,14,21,51.906
2020,1,14,22,48.633
2020,1,14,23,43.832
2020,1,14,24,39.612
2020,1,15,1,36.867
2020,1,15,2,35.176
2020,1,15,3,34.419
2020,1,15,4,34.135
2020,1,15,5,34.757
2020,1,15,6,36.813
2020,1,15,7,42.534
2020,1,15,8,45.834
2020,1,15,9,48.173
2020,1,15,10,49.985
2020,1,15,11,51.662
2020,1,15,12,52.203
2020,1,15,13,51.892
2020,1,15,14,51.635
2020,1,15,15,50.878
