Year,Month,Day,Period,VALUE
2020,1,1,1,29.551
2020,1,1,2,29.572
2020,1,1,3,30.048
2020,1,1,4,31.084
2020,1,1,5,34.194
2020,1,1,6,38.604
2020,1,1,7,40.413
2020,1,1,8,39.165
2020,1,1,9,36.975
2020,1,1,10,35.526
2020,1,1,11,34.596
2020,1,1,12,33.876
2020,1,1,13,33.231
2020,1,1,14,32.819
2020,1,1,15,32.628
2020,1,1,16,32.745
2020,1,1,17,35.114
2020,1,1,18,38.403
2020,1,1,19,37.98
2020,1,1,20,37.356
2020,1,1,21,36.14
2020,1,1,22,33.527
2020,1,1,23,30.936
2020,1,1,24,29.73
2020,1,2,1,29.128
2020,1,2,2,29.054
2020,1,2,3,29.339
2020,1,2,4,30.344
2020,1,2,5,32.935
2020,1,2,6,36.637
2020,1,2,7,38.223
2020,1,2,8,36.743
2020,1,2,9,35.241
2020,1,2,10,34.511
2020,1,2,11,33.855
2020,1,2,12,33.623
2020,1,2,13,33.379
2020,1,2,14,33.051
2020,1,2,15,32.977
2020,1,2,16,33.041
2020,1,2,17,34.892
2020,1,2,18,37.959
2020,1,2,19,37.684
2020,1,2,20,36.69
2020,1,2,21,35.283
2020,1,2,22,32.84
2020,1,2,23,30.28
2020,1,2,24,28.916
2020,1,3,1,28.461
2020,1,3,2,27.985
2020,1,3,3,28.229
2020,1,3,4,29.128
2020,1,3,5,31.486
2020,1,3,6,35.283
2020,1,3,7,36.954
2020,1,3,8,36.108
2020,1,3,9,34.945
2020,1,3,10,34.479
2020,1,3,11,34.173
2020,1,3,12,33.792
2020,1,3,13,33.506
2020,1,3,14,33.305
2020,1,3,15,33.083
2020,1,3,16,32.999
2020,1,3,17,34.247
2020,1,3,18,37.028
2020,1,3,19,36.193
2020,1,3,20,34.997
2020,1,3,21,34.194
2020,1,3,22,32.565
2020,1,3,23,30.439
2020,1,3,24,29.022
2020,1,4,1,28.429
2020,1,4,2,28.028
2020,1,4,3,28.25
2020,1,4,4,28.62
2020,1,4,5,29.963
2020,1,4,6,31.877
2020,1,4,7,33.57
2020,1,4,8,34.289
2020,1,4,9,34.109
2020,1,4,10,33.675
2020,1,4,11,33.178
2020,1,4,12,32.501
2020,1,4,13,31.835
2020,1,4,14,31.158
2020,1,4,15,31.042
2020,1,4,16,31.359
2020,1,4,17,33.4
2020,1,4,18,36.203
2020,1,4,19,35.452
2020,1,4,20,34.596
2020,1,4,21,33.369
2020,1,4,22,31.666
2020,1,4,23,29.889
2020,1,4,24,28.895
2020,1,5,1,28.429
2020,1,5,2,28.25
2020,1,5,3,28.398
2020,1,5,4,28.948
2020,1,5,5,29.995
2020,1,5,6,31.909
2020,1,5,7,33.749
2020,1,5,8,34.363
2020,1,5,9,33.845
2020,1,5,10,33.242
2020,1,5,11,32.248
2020,1,5,12,31.613
2020,1,5,13,30.947
2020,1,5,14,30.46
2020,1,5,15,30.471
2020,1,5,16,30.725
2020,1,5,17,33.157
2020,1,5,18,36.595
2020,1,5,19,36.499
2020,1,5,20,35.759
2020,1,5,21,34.204
2020,1,5,22,31.814
2020,1,5,23,29.625
2020,1,5,24,28.821
2020,1,6,1,28.546
2020,1,6,2,28.588
2020,1,6,3,29.106
2020,1,6,4,30.354
2020,1,6,5,33.887
2020,1,6,6,39.017
2020,1,6,7,41.132
2020,1,6,8,38.964
2020,1,6,9,36.626
2020,1,6,10,35.473
2020,1,6,11,34.596
2020,1,6,12,33.908
2020,1,6,13,33.231
2020,1,6,14,32.702
2020,1,6,15,32.607
2020,1,6,16,32.798
2020,1,6,17,35.093
2020,1,6,18,38.805
2020,1,6,19,38.816
2020,1,6,20,38.033
2020,1,6,21,36.679
2020,1,6,22,33.781
2020,1,6,23,31.349
2020,1,6,24,30.143
2020,1,7,1,30.122
2020,1,7,2,30.027
2020,1,7,3,30.524
2020,1,7,4,31.793
2020,1,7,5,35.389
2020,1,7,6,40.476
2020,1,7,7,42.242
2020,1,7,8,40.095
2020,1,7,9,37.229
2020,1,7,10,35.569
2020,1,7,11,34.289
2020,1,7,12,33.57
2020,1,7,13,33.369
2020,1,7,14,32.586
2020,1,7,15,32.364
2020,1,7,16,32.649
2020,1,7,17,34.913
2020,1,7,18,38.403
2020,1,7,19,38.297
2020,1,7,20,37.938
2020,1,7,21,36.351
2020,1,7,22,33.876
2020,1,7,23,31.296
2020,1,7,24,30.502
2020,1,8,1,30.016
2020,1,8,2,30.291
2020,1,8,3,30.82
2020,1,8,4,32.586
2020,1,8,5,35.939
2020,1,8,6,41.534
2020,1,8,7,43.903
2020,1,8,8,41.661
2020,1,8,9,38.223
2020,1,8,10,36.235
2020,1,8,11,34.86
2020,1,8,12,33.781
2020,1,8,13,33.199
2020,1,8,14,32.671
2020,1,8,15,32.438
2020,1,8,16,32.946
2020,1,8,17,35.124
2020,1,8,18,38.816
2020,1,8,19,38.742
2020,1,8,20,38.149
2020,1,8,21,37.092
2020,1,8,22,34.321
2020,1,8,23,31.825
2020,1,8,24,30.725
2020,1,9,1,30.428
2020,1,9,2,30.502
2020,1,9,3,31.126
2020,1,9,4,32.607
2020,1,9,5,36.267
2020,1,9,6,41.862
2020,1,9,7,43.681
2020,1,9,8,41.555
2020,1,9,9,38.382
2020,1,9,10,36.32
2020,1,9,11,34.881
2020,1,9,12,33.993
2020,1,9,13,33.284
2020,1,9,14,32.724
2020,1,9,15,32.449
2020,1,9,16,32.628
2020,1,9,17,34.722
2020,1,9,18,38.53
2020,1,9,19,38.604
2020,1,9,20,38.043
2020,1,9,21,36.838
2020,1,9,22,34.321
2020,1,9,23,31.719
2020,1,9,24,30.344
2020,1,10,1,30.079
2020,1,10,2,30.101
2020,1,10,3,30.608
2020,1,10,4,31.983
2020,1,10,5,35.484
2020,1,10,6,40.973
2020,1,10,7,42.771
2020,1,10,8,40.635
2020,1,10,9,37.652
2020,1,10,10,35.748
2020,1,10,11,34.627
2020,1,10,12,33.633
2020,1,10,13,32.84
2020,1,10,14,32.628
2020,1,10,15,32.142
2020,1,10,16,32.279
2020,1,10,17,33.792
2020,1,10,18,36.637
2020,1,10,19,36.055
2020,1,10,20,35.452
2020,1,10,21,34.532
2020,1,10,22,32.639
2020,1,10,23,30.471
2020,1,10,24,29.138
2020,1,11,1,28.514
2020,1,11,2,28.345
2020,1,11,3,28.377
2020,1,11,4,28.874
2020,1,11,5,29.952
2020,1,11,6,31.951
2020,1,11,7,34.014
2020,1,11,8,35.135
2020,1,11,9,35.082
2020,1,11,10,34.236
2020,1,11,11,33.644
2020,1,11,12,32.639
2020,1,11,13,32.004
2020,1,11,14,31.158
2020,1,11,15,30.936
2020,1,11,16,31.137
2020,1,11,17,32.914
2020,1,11,18,35.833
2020,1,11,19,35.368
2020,1,11,20,34.585
2020,1,11,21,33.369
2020,1,11,22,31.571
2020,1,11,23,29.54
2020,1,11,24,28.387
2020,1,12,1,27.615
2020,1,12,2,27.277
2020,1,12,3,26.981
2020,1,12,4,27.065
2020,1,12,5,28.006
2020,1,12,6,29.752
2020,1,12,7,31.433
2020,1,12,8,32.459
2020,1,12,9,32.681
2020,1,12,10,32.586
2020,1,12,11,32.152
2020,1,12,12,31.74
2020,1,12,13,31.063
2020,1,12,14,30.407
2020,1,12,15,30.439
2020,1,12,16,30.936
2020,1,12,17,33.168
2020,1,12,18,37.06
2020,1,12,19,37.07
2020,1,12,20,36.193
2020,1,12,21,35.135
2020,1,12,22,33.422
2020,1,12,23,31.105
2020,1,12,24,29.995
2020,1,13,1,29.804
2020,1,13,2,29.91
2020,1,13,3,30.376
2020,1,13,4,31.867
2020,1,13,5,34.543
2020,1,13,6,38.467
2020,1,13,7,40.645
2020,1,13,8,40.55
2020,1,13,9,39.292
2020,1,13,10,38.371
2020,1,13,11,37.208
2020,1,13,12,35.653
2020,1,13,13,34.606
2020,1,13,14,33.57
2020,1,13,15,33.189
2020,1,13,16,33.57
2020,1,13,17,36.965
2020,1,13,18,40.815
2020,1,13,19,41.079
2020,1,13,20,40.402
2020,1,13,21,39.408
2020,1,13,22,36.563
2020,1,13,23,33.792
2020,1,13,24,33.21
2020,1,14,1,32.946
2020,1,14,2,33.147
2020,1,14,3,33.94
2020,1,14,4,35.643
2020,1,14,5,39.63
2020,1,14,6,45.807
2020,1,14,7,48.091
2020,1,14,8,45.013
2020,1,14,9,41.121
2020,1,14,10,38.583
2020,1,14,11,36.542
2020,1,14,12,35.251
2020,1,14,13,34.056
2020,1,14,14,33.326
2020,1,14,15,32.819
2020,1,14,16,33.242
2020,1,14,17,35.738
2020,1,14,18,40.381
2020,1,14,19,40.825
2020,1,14,20,40.603
2020,1,14,21,39.767
2020,1,14,22,36.658
2020,1,14,23,34.162
2020,1,14,24,32.829
2020,1,15,1,32.523
2020,1,15,2,32.501
2020,1,15,3,32.977
2020,1,15,4,34.606
2020,1,15,5,38.794
2020,1,15,6,44.432
2020,1,15,7,46.42
2020,1,15,8,44.083
2020,1,15,9,40.55
2020,1,15,10,37.948
2020,1,15,11,35.981
2020,1,15,12,34.849
2020,1,15,13,33.94
2020,1,15,14,33.221
2020,1,15,15,32.84
2020,1,15,16,33.147
2020,1,15,17,35.484
2020,1,15,18,39.905
2020,1,15,19,40.169
2020,1,15,20,39.841
2020,1,15,21,38.689
2020,1,15,22,35.431
2020,1,15,23,32.47
2020,1,15,24,31.095
2020,1,16,1,30.64
2020,1,16,2,30.524
2020,1,16,3,30.545
2020,1,16,4,31.93
2020,1,16,5,35.029
2020,1,16,6,40.095
2020,1,16,7,42.38
2020,1,16,8,40.233
2020,1,16,9,37.98
2020,1,16,10,36.637
2020,1,16,11,35.822
2020,1,16,12,35.103
2020,1,16,13,34.543
2020,1,16,14,34.088
2020,1,16,15,33.697
2020,1,16,16,34.204
2020,1,16,17,36.351
2020,1,16,18,40.55
2020,1,16,19,40.666
2020,1,16,20,40.042
2020,1,16,21,39.101
2020,1,16,22,36.013
2020,1,16,23,33.432
2020,1,16,24,32.353
2020,1,17,1,32.216
2020,1,17,2,32.322
2020,1,17,3,32.924
2020,1,17,4,34.352
2020,1,17,5,38.128
2020,1,17,6,43.744
2020,1,17,7,46.293
2020,1,17,8,43.289
2020,1,17,9,39.725
2020,1,17,10,37.24
2020,1,17,11,35.346
2020,1,17,12,34.088
2020,1,17,13,33.136
2020,1,17,14,32.406
2020,1,17,15,31.856
2020,1,17,16,32.163
2020,1,17,17,33.993
2020,1,17,18,37.747
2020,1,17,19,38.297
2020,1,17,20,37.938
2020,1,17,21,37.811
2020,1,17,22,36.087
2020,1,17,23,34.077
2020,1,17,24,33.157
2020,1,18,1,32.808
2020,1,18,2,32.946
2020,1,18,3,33.316
2020,1,18,4,34.247
2020,1,18,5,36.045
2020,1,18,6,39.006
2020,1,18,7,41.65
2020,1,18,8,42.189
2020,1,18,9,40.36
2020,1,18,10,38.297
2020,1,18,11,36.045
2020,1,18,12,34.109
2020,1,18,13,32.628
2020,1,18,14,31.74
2020,1,18,15,31.042
2020,1,18,16,31.296
2020,1,18,17,33.242
2020,1,18,18,37.007
2020,1,18,19,37.24
2020,1,18,20,36.785
2020,1,18,21,36.193
2020,1,18,22,34.881
2020,1,18,23,33.358
2020,1,18,24,32.544
2020,1,19,1,32.29
2020,1,19,2,32.427
2020,1,19,3,32.882
2020,1,19,4,33.728
2020,1,19,5,35.325
2020,1,19,6,37.652
2020,1,19,7,39.958
2020,1,19,8,40.645
2020,1,19,9,39.059
2020,1,19,10,36.88
2020,1,19,11,35.019
2020,1,19,12,33.749
2020,1,19,13,32.491
2020,1,19,14,31.412
2020,1,19,15,30.851
2020,1,19,16,31.38
2020,1,19,17,33.4
2020,1,19,18,37.8
2020,1,19,19,38.572
2020,1,19,20,38.065
2020,1,19,21,36.679
2020,1,19,22,34.098
2020,1,19,23,31.825
2020,1,19,24,30.64
2020,1,20,1,30.407
2020,1,20,2,30.502
2020,1,20,3,30.841
2020,1,20,4,32.406
2020,1,20,5,35.896
2020,1,20,6,41.639
2020,1,20,7,43.786
2020,1,20,8,41.227
2020,1,20,9,38.519
2020,1,20,10,36.774
2020,1,20,11,35.431
2020,1,20,12,34.638
2020,1,20,13,33.813
2020,1,20,14,33.051
2020,1,20,15,32.724
2020,1,20,16,32.935
2020,1,20,17,34.754
2020,1,20,18,38.773
2020,1,20,19,38.995
2020,1,20,20,38.139
2020,1,20,21,36.436
2020,1,20,22,33.559
2020,1,20,23,30.968
2020,1,20,24,29.466
2020,1,21,1,29.128
2020,1,21,2,28.905
2020,1,21,3,29.35
2020,1,21,4,30.46
2020,1,21,5,33.813
2020,1,21,6,38.657
2020,1,21,7,40.518
2020,1,21,8,38.572
2020,1,21,9,36.838
2020,1,21,10,35.59
2020,1,21,11,34.553
2020,1,21,12,34.046
2020,1,21,13,33.527
2020,1,21,14,33.686
2020,1,21,15,32.977
2020,1,21,16,32.977
2020,1,21,17,34.331
2020,1,21,18,38.255
2020,1,21,19,38.012
2020,1,21,20,37.113
2020,1,21,21,35.759
2020,1,21,22,32.639
2020,1,21,23,29.878
2020,1,21,24,28.514
2020,1,22,1,28.049
2020,1,22,2,27.996
2020,1,22,3,28.218
2020,1,22,4,29.381
2020,1,22,5,32.427
2020,1,22,6,37.779
2020,1,22,7,41.005
2020,1,22,8,39.175
2020,1,22,9,36.552
2020,1,22,10,35.188
2020,1,22,11,34.289
2020,1,22,12,34.067
2020,1,22,13,33.644
2020,1,22,14,33.326
2020,1,22,15,33.051
2020,1,22,16,33.316
2020,1,22,17,34.892
2020,1,22,18,38.868
2020,1,22,19,39.165
2020,1,22,20,38.456
2020,1,22,21,37.229
2020,1,22,22,34.046
2020,1,22,23,31.55
2020,1,22,24,30.354
2020,1,23,1,30.016
2020,1,23,2,30.238
2020,1,23,3,30.83
2020,1,23,4,32.523
2020,1,23,5,36.383
2020,1,23,6,42.115
2020,1,23,7,44.347
2020,1,23,8,41.957
2020,1,23,9,38.752
2020,1,23,10,36.616
2020,1,23,11,34.881
2020,1,23,12,33.908
2020,1,23,13,33.231
2020,1,23,14,32.491
2020,1,23,15,32.459
2020,1,23,16,32.85
2020,1,23,17,34.701
2020,1,23,18,38.805
2020,1,23,19,39.228
2020,1,23,20,38.604
2020,1,23,21,37.451
2020,1,23,22,34.49
2020,1,23,23,31.75
2020,1,23,24,30.883
2020,1,24,1,30.545
2020,1,24,2,30.767
2020,1,24,3,31.412
2020,1,24,4,33.115
2020,1,24,5,36.711
2020,1,24,6,42.158
2020,1,24,7,44.358
2020,1,24,8,42.031
2020,1,24,9,38.847
2020,1,24,10,37.197
2020,1,24,11,35.473
2020,1,24,12,34.278
2020,1,24,13,33.369
2020,1,24,14,32.724
2020,1,24,15,32.47
2020,1,24,16,32.554
2020,1,24,17,34.035
2020,1,24,18,37.409
2020,1,24,19,37.694
2020,1,24,20,37.123
2020,1,24,21,36.489
2020,1,24,22,34.447
2020,1,24,23,32.47
2020,1,24,24,31.444
2020,1,25,1,31.042
2020,1,25,2,31.19
2020,1,25,3,31.454
2020,1,25,4,32.29
2020,1,25,5,34.173
2020,1,25,6,36.764
2020,1,25,7,39.239
2020,1,25,8,39.598
2020,1,25,9,38.583
2020,1,25,10,36.827
2020,1,25,11,35.198
2020,1,25,12,33.591
2020,1,25,13,32.438
2020,1,25,14,31.476
2020,1,25,15,30.926
2020,1,25,16,31.317
2020,1,25,17,33.02
2020,1,25,18,36.446
2020,1,25,19,36.711
2020,1,25,20,36.171
2020,1,25,21,35.431
2020,1,25,22,33.813
2020,1,25,23,31.973
2020,1,25,24,31.031
2020,1,26,1,30.534
2020,1,26,2,30.492
2020,1,26,3,30.587
2020,1,26,4,31.37
2020,1,26,5,32.575
2020,1,26,6,34.691
2020,1,26,7,36.7
2020,1,26,8,37.219
2020,1,26,9,36.119
2020,1,26,10,34.691
2020,1,26,11,33.284
2020,1,26,12,32.269
2020,1,26,13,31.179
2020,1,26,14,30.693
2020,1,26,15,30.397
2020,1,26,16,30.598
2020,1,26,17,32.375
2020,1,26,18,37.885
2020,1,26,19,37.441
2020,1,26,20,36.679
2020,1,26,21,35.442
2020,1,26,22,33.041
2020,1,26,23,30.418
2020,1,26,24,29.519
2020,1,27,1,29.328
2020,1,27,2,29.424
2020,1,27,3,30.058
2020,1,27,4,31.666
2020,1,27,5,35.399
2020,1,27,6,41.216
2020,1,27,7,43.289
2020,1,27,8,40.762
2020,1,27,9,37.969
2020,1,27,10,36.193
2020,1,27,11,34.775
2020,1,27,12,34.194
2020,1,27,13,33.295
2020,1,27,14,32.798
2020,1,27,15,32.787
2020,1,27,16,32.628
2020,1,27,17,34.003
2020,1,27,18,37.768
2020,1,27,19,38.192
2020,1,27,20,37.24
2020,1,27,21,35.822
2020,1,27,22,32.84
2020,1,27,23,30.122
2020,1,27,24,28.969
2020,1,28,1,28.652
2020,1,28,2,28.514
2020,1,28,3,29.149
2020,1,28,4,30.619
2020,1,28,5,34.215
2020,1,28,6,39.566
2020,1,28,7,41.502
2020,1,28,8,38.794
2020,1,28,9,36.383
2020,1,28,10,35.029
2020,1,28,11,34.278
2020,1,28,12,33.506
2020,1,28,13,33.03
2020,1,28,14,32.491
2020,1,28,15,32.449
2020,1,28,16,32.639
2020,1,28,17,33.866
